Representation,Algorithm,Distance metric,Subset size,N clusters,V-measure,Adj. RS,Hopkins,Silhouette Score,Modularity,Homogeneity,Completeness,Trustworthiness,Continuity
PAF,kMeans,euclidean,50,4,0.4977960276671371,0.367979673144966,0.9095231610741892,0.2480055491913767,,0.4355694373406203,0.5807657423075792,0.9501288810779145,0.9444346807264207
PAF,HDBSCAN,euclidean,50,19,0.4989337937318996,0.34094488000413264,0.9095231610741892,0.2480055491913767,,0.627164832042528,0.4142380720190027,0.9501288810779145,0.9444346807264207
PAF,Leiden,euclidean,50,7,0.5021361804543525,0.403768768229981,0.9095231610741892,0.5295228958129883,0.690729012345679,0.5206831323425865,0.48486508254535343,0.9501288810779145,0.9444346807264207
LFCC,kMeans-preset,euclidean,50,5,0.4366003299822196,0.28538784111461546,0.9865856523888425,0.38144463373236254,,0.40431019004575347,0.47449582982770283,0.986365553602812,0.9869232571763328
LFCC,kMeans,euclidean,50,4,0.47363343482098574,0.3182896259405137,0.9865856523888425,0.38144463373236254,,0.39901385321192484,0.5825821180630617,0.986365553602812,0.9869232571763328
LFCC,HDBSCAN,euclidean,50,3,0.47363343482098574,0.3182896259405137,0.9865856523888425,0.38144463373236254,,0.39901385321192484,0.5825821180630617,0.986365553602812,0.9869232571763328
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9865856523888425,0.5365261435508728,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.986365553602812,0.9869232571763328
Spectrogram,kMeans-preset,euclidean,50,5,0.488243657432459,0.3852972201628343,0.8474229934407861,0.23294663522816164,,0.4570614540383518,0.5239920837972349,0.9314598711189221,0.9578265963678969
Spectrogram,kMeans,euclidean,50,2,0.4261842882293486,0.258888293618442,0.8474229934407861,0.23294663522816164,,0.295432269685242,0.7645640002569514,0.9314598711189221,0.9578265963678969
Spectrogram,HDBSCAN,euclidean,50,3,0.5186789222611538,0.3794732404040566,0.8474229934407861,0.23294663522816164,,0.43088478682153125,0.6514046825442108,0.9314598711189221,0.9578265963678969
Spectrogram,Leiden,euclidean,50,7,0.4583707806385523,0.30643773515666434,0.8474229934407861,0.366617351770401,0.6500672839506173,0.4686942858957843,0.44849224741686644,0.9314598711189221,0.9578265963678969
VAE,kMeans-preset,euclidean,50,5,0.4766013618462133,0.3464046644679663,0.9679283123859638,0.26628028230788314,,0.45164944171571003,0.504471500558751,0.9635254833040422,0.9589994141769186
VAE,kMeans,euclidean,50,3,0.5419772715514625,0.391739312311755,0.9679283123859638,0.26628028230788314,,0.430027434941361,0.7327303057635294,0.9635254833040422,0.9589994141769186
VAE,HDBSCAN,euclidean,50,3,0.5419772715514625,0.391739312311755,0.9679283123859638,0.26628028230788314,,0.43002743494136103,0.7327303057635295,0.9635254833040422,0.9589994141769186
VAE,Leiden,euclidean,50,6,0.47232831982283113,0.3540642707136347,0.9679283123859638,0.5353103876113892,0.6834834705075444,0.46678567020231426,0.4780041788945266,0.9635254833040422,0.9589994141769186
PAF,kMeans-preset,euclidean,50,5,0.4201294710833829,0.26466336832823756,0.8998265509088238,0.24882650533122339,,0.38882453961482033,0.4569166122653243,0.9498066783831283,0.9430462800234329
PAF,kMeans,euclidean,50,4,0.48547298240975034,0.342510290451128,0.8998265509088238,0.24882650533122339,,0.4223845613245156,0.5707166588917019,0.9498066783831283,0.9430462800234329
PAF,HDBSCAN,euclidean,50,2,0.2529291536106283,0.08393109142200939,0.8998265509088238,0.24882650533122339,,0.15588870640072391,0.6700079001409407,0.9498066783831283,0.9430462800234329
PAF,Leiden,euclidean,50,7,0.497848292079772,0.3984540987239145,0.8998265509088238,0.5503725409507751,0.6900030178326476,0.5153623583935223,0.4814854965095564,0.9498066783831283,0.9430462800234329
LFCC,kMeans-preset,euclidean,50,5,0.3962528773317725,0.24234756422270495,0.9823188918815706,0.38144463373236254,,0.3682478075458786,0.428868090680913,0.9857352079671939,0.9869502050380785
LFCC,kMeans,euclidean,50,11,0.3900821220230725,0.20501089770915618,0.9823188918815706,0.38144463373236254,,0.4505549629353841,0.3439214749306324,0.9857352079671939,0.9869502050380785
LFCC,HDBSCAN,euclidean,50,3,0.4273606069319273,0.2590006248701966,0.9823188918815706,0.38144463373236254,,0.35100433466299535,0.5461732523788502,0.9857352079671939,0.9869502050380785
LFCC,Leiden,euclidean,50,9,0.4055846136953008,0.22464540961019183,0.9823188918815706,0.6051605343818665,0.7996320301783266,0.4492203857146765,0.3696755610030452,0.9857352079671939,0.9869502050380785
Spectrogram,kMeans-preset,euclidean,50,5,0.48175899741596334,0.3469772149086759,0.9245307546643599,0.23187559249386766,,0.45512581938424806,0.5117029728972221,0.9351060339777387,0.9554317516110135
Spectrogram,kMeans,euclidean,50,2,0.4128440767649794,0.25422363996561714,0.9245307546643599,0.23187559249386766,,0.2861514909374202,0.740855131355571,0.9351060339777387,0.9554317516110135
Spectrogram,HDBSCAN,euclidean,50,2,0.4128440767649794,0.25422363996561714,0.9245307546643599,0.23187559249386766,,0.2861514909374202,0.740855131355571,0.9351060339777387,0.9554317516110135
Spectrogram,Leiden,euclidean,50,7,0.4729863744784713,0.32244113121749485,0.9245307546643599,0.33305567502975464,0.6490945130315499,0.4827754081176562,0.4635864277138781,0.9351060339777387,0.9554317516110135
VAE,kMeans-preset,euclidean,50,5,0.47398985157109363,0.34642281361626337,0.970032989905653,0.25687992188765646,,0.44920702901040666,0.5016668930982817,0.9630497949619214,0.9596145284124195
VAE,kMeans,euclidean,50,3,0.5373728034922515,0.3881369631507403,0.970032989905653,0.25687992188765646,,0.42646175695640853,0.7262507810946149,0.9630497949619214,0.9596145284124195
VAE,HDBSCAN,euclidean,50,3,0.5373728034922515,0.3881369631507403,0.970032989905653,0.25687992188765646,,0.42646175695640853,0.7262507810946149,0.9630497949619214,0.9596145284124195
VAE,Leiden,euclidean,50,7,0.4711546724598169,0.3617573265727009,0.970032989905653,0.45498982071876526,0.6805412208504803,0.4810084077936353,0.46169655166416734,0.9630497949619214,0.9596145284124195
PAF,kMeans-preset,euclidean,50,5,0.4993684048015846,0.36098319715018706,0.9324023976722102,0.2481806349526755,,0.45751129187028416,0.5496556887342494,0.9446736965436439,0.9442882249560632
PAF,kMeans,euclidean,50,7,0.498339715511996,0.39347971771907403,0.9324023976722102,0.2481806349526755,,0.515130565862156,0.48260891894755886,0.9446736965436439,0.9442882249560632
PAF,HDBSCAN,euclidean,50,2,0.2529291536106283,0.08393109142200939,0.9324023976722102,0.2481806349526755,,0.15588870640072391,0.6700079001409407,0.9446736965436439,0.9442882249560632
PAF,Leiden,euclidean,50,7,0.5021361804543525,0.403768768229981,0.9324023976722102,0.5194705128669739,0.6884841563786008,0.5206831323425865,0.48486508254535343,0.9446736965436439,0.9442882249560632
LFCC,kMeans-preset,euclidean,50,5,0.44597814953172377,0.29812655779439423,0.9839966665877253,0.38144463373236254,,0.41387989984526247,0.483473712748083,0.9850755711775044,0.9871423550087873
LFCC,kMeans,euclidean,50,10,0.40374745381797966,0.21681722405710244,0.9839966665877253,0.38144463373236254,,0.4561096303709755,0.36216973963253873,0.9850755711775044,0.9871423550087873
