clip_ID,call_type,latent_representation
G07559,1,"[0.004317522048950195, -0.5480494499206543, -0.7076375484466553, 1.1771259307861328, -2.3519644737243652, -1.8441970348358154, -1.1063957214355469, 1.2633391618728638, 1.0278213024139404, 0.7254136204719543, -0.4659116864204407, -1.3965566158294678, 0.09418024122714996, -0.19990596175193787, -0.6522825956344604, 0.5885030031204224, -0.10996940732002258, 1.243121862411499, 0.22463825345039368, -0.009348809719085693, -0.26872891187667847, -0.4609346091747284, 1.3098078966140747, 2.2493722438812256, -0.011928044259548187, 0.10376622527837753, 0.22901013493537903, 0.5490763783454895, -0.6630481481552124, 1.9561731815338135, 0.5795491337776184, 1.144789695739746, 0.4781055450439453, -0.3546764850616455, 0.20044896006584167, -0.32130664587020874, -1.7103794813156128, -1.0103046894073486, -0.48737552762031555, -0.8864680528640747, 0.5598133206367493, 0.17363758385181427, -0.7149754166603088, -0.19412004947662354, -1.1383686065673828, -2.9772725105285645, -2.5696256160736084, -1.7440147399902344, -1.5006539821624756, 1.2311453819274902, 1.0993332862854004, -0.32787391543388367, -0.3258969485759735, -1.883504033088684, -0.5265220403671265, 0.16561636328697205, -1.0959235429763794, -2.0732741355895996, 0.8438212275505066, 1.4992246627807617, -1.8730254173278809, 1.564526915550232, -0.8628035187721252, -0.1525924801826477, 2.9480676651000977, 0.42294472455978394, -0.8571580648422241, 0.11224430799484253, -1.6178715229034424, 0.7933403253555298, 0.5806679725646973, -0.7214027047157288, 1.189842939376831, -0.05329632759094238, -1.0343406200408936, 0.07546661794185638, -1.0543935298919678, -0.09203779697418213, -0.2651424705982208, -1.0344895124435425, -1.2012262344360352, -1.6133242845535278, 0.39380547404289246, -1.7129868268966675, 0.1820220798254013, -0.3826197683811188, -0.05111289024353027, -0.16710320115089417, 0.31837379932403564, -0.13458263874053955, 0.06408798694610596, 0.3005964159965515, -1.1196792125701904, -0.3507912755012512, 0.21417587995529175, 1.3007158041000366, -0.9265114665031433, -0.9511460065841675, -1.3405640125274658, -1.3381203413009644, 0.6809441447257996, 0.5478154420852661, -0.201048344373703, -1.0069921016693115, -2.0718507766723633, 0.46941566467285156, -0.694655179977417, -0.8256733417510986, -0.2305189073085785, -1.1763026714324951, -0.38879483938217163, 1.316650629043579, -1.1648941040039062, 0.4720781445503235, -0.8111714720726013, -2.2083609104156494, 0.537198543548584, 0.833558201789856, 0.034139037132263184, -0.7128169536590576, -0.546301543712616, 1.199516773223877, -0.34726330637931824, 0.6057274341583252, -0.04233141988515854, 0.9820882081985474, -1.9609580039978027, 0.5948723554611206]"
G11916,4,"[-0.4549865126609802, -0.3385293483734131, -1.0864760875701904, -0.7634322047233582, -0.3930526673793793, -0.027922511100769043, 0.6446441411972046, 1.3824257850646973, -0.16493460536003113, 1.4634602069854736, -0.6267135143280029, 0.07219809293746948, -0.16385334730148315, 1.773045539855957, -0.8064067363739014, 1.606602430343628, -0.37806153297424316, 1.625541090965271, -1.5485811233520508, 0.3439355790615082, 0.6791440844535828, 0.17811670899391174, 0.8266968727111816, 2.659073829650879, -0.4359935522079468, 0.07872763276100159, 0.5588333010673523, -0.7111647725105286, -0.06242004781961441, 0.46210795640945435, 0.852432131767273, -0.6420835256576538, 1.1435478925704956, -0.30685684084892273, -0.6263536214828491, -0.7542805671691895, 0.04586446285247803, -0.8486660718917847, -0.17577284574508667, 0.8758805990219116, -0.9795425534248352, -0.6277791261672974, 0.8448583483695984, 1.1059329509735107, -1.7193328142166138, 1.047702670097351, -1.515631079673767, -0.1749626100063324, 0.6829078793525696, -0.15291693806648254, -1.005505084991455, 0.6153137683868408, -0.15341827273368835, -0.09083646535873413, 0.5465216636657715, 0.2690889239311218, 0.2800632119178772, -0.3235233724117279, -0.22628837823867798, -0.4011843204498291, 0.45724058151245117, 0.11718779802322388, 0.9770922660827637, -1.1950353384017944, 1.2677948474884033, 0.959990382194519, -0.4583688974380493, -0.10211370885372162, 0.6701935529708862, 1.9771063327789307, 0.29189419746398926, -0.6998032331466675, -0.8724055290222168, 0.2087385058403015, -0.716379702091217, 1.4343595504760742, 1.6845920085906982, -0.03655727580189705, -1.3374196290969849, 0.5241143703460693, -0.2395654022693634, -0.5964380502700806, 1.1522738933563232, -0.19731833040714264, -0.5312951803207397, 0.24811726808547974, 2.357461452484131, -0.4225001335144043, 0.28073829412460327, 1.205655574798584, 0.09105934947729111, 0.4843797981739044, -1.3849745988845825, -0.20362158119678497, -1.0889317989349365, 1.4435608386993408, 0.76798015832901, 0.569725513458252, -1.3438398838043213, 0.600525975227356, 0.4669860005378723, 0.21405959129333496, 0.858855128288269, -2.2134594917297363, -0.6383453607559204, -0.3143204152584076, 0.7088869214057922, 0.020755067467689514, 0.7067947387695312, -0.5741391181945801, 0.9648103713989258, 0.2573218047618866, 1.1867703199386597, 0.5175992846488953, -0.26300087571144104, -0.5113880634307861, 0.6867422461509705, -0.11585608124732971, -1.2834237813949585, -0.377964586019516, -1.155740737915039, 1.2151392698287964, 2.1942076683044434, 0.032865915447473526, 0.2495744824409485, 0.9785362482070923, 1.0709798336029053, 1.3354287147521973]"
G00246,3,"[-0.35501718521118164, 0.029368221759796143, -0.2059594988822937, -0.6350057721138, 1.2818434238433838, 0.07169940322637558, 0.21841111779212952, -0.9948527216911316, 0.6429752111434937, -0.8788683414459229, -0.8577139973640442, 0.7035101652145386, -0.7936931848526001, -1.9278268814086914, 1.7055079936981201, 0.7117910385131836, 0.41579586267471313, -1.0784564018249512, -0.4118358790874481, -0.8441677093505859, -1.1454291343688965, 0.27291998267173767, -0.8187334537506104, -1.0286710262298584, 0.8970544338226318, -0.7259937524795532, 0.10609769821166992, -2.6301989555358887, -0.45968443155288696, 0.5050721168518066, -0.320876806974411, -0.5615606904029846, 0.6869586706161499, -0.09663307666778564, 1.3995620012283325, 0.6108047366142273, -0.45277711749076843, 0.36892497539520264, 0.5022169947624207, -0.5391767621040344, -0.14193680882453918, 0.25444653630256653, -1.8098870515823364, 2.3171348571777344, 0.09272971749305725, -0.28901997208595276, -1.6741843223571777, 0.4771203398704529, 0.4295818507671356, -0.8677160739898682, -0.16372263431549072, -1.2130658626556396, 0.994741678237915, -0.6025646328926086, 0.4982016086578369, -0.34179362654685974, 0.19736257195472717, 1.5071442127227783, -0.5825001001358032, -0.8380736112594604, 0.5470476746559143, 0.1730334758758545, 0.7218455076217651, -0.5282499194145203, 0.9269061088562012, -0.634907066822052, 1.1760755777359009, 0.03953881561756134, -1.1986862421035767, -1.0213568210601807, 0.6675887107849121, -0.9393369555473328, -1.2721803188323975, -1.939026117324829, -1.4005204439163208, 0.5401472449302673, -0.10367408394813538, -0.46018046140670776, -1.1069538593292236, 1.5682650804519653, 0.1584911197423935, 0.36907047033309937, 0.5085017681121826, 0.2448388934135437, -0.6689965724945068, 0.9352967143058777, -1.0754072666168213, -0.29336416721343994, 0.5593941807746887, -0.85068279504776, -1.1918132305145264, 0.7866901159286499, -1.8560636043548584, 0.5303788185119629, -0.6981702446937561, 1.9078110456466675, 1.734478235244751, 0.13132619857788086, -0.9161310791969299, 1.0611522197723389, 0.6456823348999023, 2.5124197006225586, -0.2603195011615753, -0.1470274180173874, 1.0388556718826294, 0.17698204517364502, -0.21046561002731323, 0.0010868832468986511, -0.9838609099388123, 1.9794420003890991, -1.3805925846099854, 0.02524814009666443, 1.637263298034668, 0.9512817859649658, -0.16330495476722717, 0.5118533968925476, 0.5176560282707214, -0.8006421327590942, 0.0597156286239624, 0.2649365961551666, 1.0733180046081543, -1.2344765663146973, 1.117595911026001, 0.5196404457092285, -1.21147882938385, -0.6206057667732239, 0.7019805908203125, 0.4844304025173187]"
G08377,1,"[-0.6925588846206665, -1.1058802604675293, -0.8168020248413086, 0.9644911289215088, 1.2868084907531738, -0.9456784129142761, 0.23576265573501587, 0.21530184149742126, 0.5599775910377502, 0.05175045132637024, 0.13572807610034943, -0.24634352326393127, -2.081688165664673, -1.020971655845642, -0.6418261528015137, -0.047210246324539185, -0.5215378999710083, 2.3502390384674072, -0.5202972888946533, 1.5934219360351562, -1.1803743839263916, -0.954649806022644, 1.3263564109802246, 1.0298187732696533, 1.2383002042770386, 0.20553073287010193, 1.0601533651351929, 0.3926926255226135, -0.9391964077949524, 0.6149103045463562, 1.0221598148345947, 0.5330505967140198, 0.4966961741447449, -1.0620918273925781, 1.2043192386627197, 1.122043490409851, -1.8219218254089355, -1.0365819931030273, -0.4500959515571594, -0.34476009011268616, -1.2167937755584717, -0.24600690603256226, 0.21156011521816254, 0.8274668455123901, -1.694334864616394, 1.3830938339233398, -3.408615827560425, 0.5773257613182068, 0.10967419296503067, 0.7039778828620911, -0.39909279346466064, 0.02835392951965332, -0.45667439699172974, 0.46366238594055176, -1.5383847951889038, -0.571230947971344, -0.804448127746582, -1.0206866264343262, -1.4562005996704102, -0.12705647945404053, 0.7547065615653992, 1.8513542413711548, 1.113444209098816, 0.036214590072631836, 1.5505450963974, -0.3262028098106384, 0.5205658674240112, -0.8824328184127808, 0.16861402988433838, -0.48970943689346313, 0.48523956537246704, 0.1319587528705597, -0.2739948630332947, -0.2808656096458435, 1.3229633569717407, 0.6552421450614929, 0.24154061079025269, -0.5344826579093933, -0.3417072892189026, -0.2496025264263153, 0.19905319809913635, -0.5285050272941589, 0.4896802604198456, -0.26524919271469116, -0.19105155766010284, 2.576857566833496, 0.2349572777748108, -0.121124267578125, -0.301582396030426, 1.6175556182861328, 0.1476176381111145, 0.7215530276298523, -0.6774908900260925, 1.6452232599258423, -1.096841812133789, -0.6899142265319824, -0.5669069886207581, 0.11364574730396271, -1.2444090843200684, -0.09932011365890503, -1.4858834743499756, -0.10760754346847534, -0.348192036151886, -1.7285370826721191, -1.1368550062179565, -0.01265186071395874, -0.02621173858642578, 0.3572046458721161, -0.1446136236190796, -0.8613626956939697, 0.7931082844734192, -0.4415786862373352, 0.4824991524219513, 0.21138331294059753, 0.3356788158416748, -0.8945885300636292, 0.809989333152771, -0.14015533030033112, 0.5649700164794922, -0.34219586849212646, -0.18577522039413452, 1.9982702732086182, 0.054119646549224854, -0.9383648037910461, -0.9870144128799438, 0.19277766346931458, 1.4411072731018066, 1.7297005653381348]"
G07960,4,"[-0.8238189220428467, 0.7680668830871582, -0.3395785093307495, 0.21700406074523926, -0.2459486722946167, 1.2281239032745361, -0.24062711000442505, -0.6231663823127747, -2.4196791648864746, 0.12758798897266388, -1.2746644020080566, -0.9783661365509033, -0.6446147561073303, 0.7656381726264954, 0.8152886629104614, -0.18239378929138184, 0.5492681860923767, 0.4113127291202545, -0.5293397903442383, 0.38055193424224854, 1.0152755975723267, -0.29755139350891113, -0.40407776832580566, -0.2039114236831665, -0.5974836349487305, -1.3022305965423584, 1.416526198387146, 0.6499626636505127, -1.6688697338104248, -0.5286121368408203, -0.12183091789484024, 0.2070831060409546, 0.604404628276825, -0.48058006167411804, -0.6294689178466797, 0.013350188732147217, 1.5291202068328857, -0.7140123844146729, 0.08499014377593994, 2.1453092098236084, 0.05156718194484711, -0.34817957878112793, 0.08947384357452393, -1.3949528932571411, 0.7998701333999634, 1.2384029626846313, 0.10700342059135437, -0.9322729110717773, 1.1117303371429443, 1.1036746501922607, -1.1751933097839355, 0.37641188502311707, -0.9980701804161072, 0.5096984505653381, -0.1558336615562439, -0.19874322414398193, 0.9772839546203613, -0.4373963475227356, 0.7953165769577026, 0.2941758930683136, -0.49602726101875305, -1.3765127658843994, -0.553553581237793, -0.7407701015472412, -0.02908271551132202, 1.061953067779541, 1.1706252098083496, -0.4595562815666199, 0.07681738585233688, 1.110924243927002, -0.9283629059791565, -0.22449950873851776, 1.3605371713638306, -1.8487486839294434, 0.0015572309494018555, -0.06363523006439209, 1.6834182739257812, -0.7020560503005981, -1.3037737607955933, -0.6957000494003296, 0.5678398013114929, 1.2534427642822266, 2.141953229904175, 0.42616283893585205, -0.8355813026428223, 1.3614624738693237, -0.670354962348938, -0.8439030051231384, 0.2448781132698059, 0.5335032343864441, -0.7217767834663391, 0.9888392686843872, -0.42959728837013245, 0.8384160399436951, 0.10939300060272217, 0.7189476490020752, -0.11545392870903015, 1.7302333116531372, 1.0933482646942139, -1.3756802082061768, -0.0584331750869751, -1.0948927402496338, 0.6276305913925171, 0.07405254989862442, -0.5142544507980347, 1.0567266941070557, 1.6220394372940063, 0.1487833708524704, -0.17735008895397186, -0.7868685722351074, -0.3840777277946472, 0.7032906413078308, 0.5045438408851624, 0.5270441770553589, 0.08321380615234375, 0.19233250617980957, 0.9354298114776611, 0.42412373423576355, 0.713806688785553, 0.09259138256311417, 1.7907074689865112, 1.8770325183868408, 1.7638331651687622, 1.778562307357788, 0.029981255531311035, 0.4950743019580841, 0.18736231327056885, -0.5157437324523926]"
G12642,6,"[-1.8297210931777954, 0.7607623338699341, 2.294182538986206, 0.5442003011703491, -0.02609100192785263, -0.863080620765686, -0.37607425451278687, -0.722880482673645, 0.40362805128097534, 0.9757170081138611, -0.7051926851272583, -0.8041616082191467, -0.7954527735710144, 0.010163843631744385, 0.5167533159255981, -0.18282291293144226, -0.19773145020008087, 1.163801908493042, 0.10742239654064178, -0.2973909378051758, 0.020111843943595886, -2.914754867553711, 1.1680086851119995, 0.3098110556602478, 1.2750641107559204, 0.5947418808937073, 0.8053833246231079, 0.841109573841095, 1.6131168603897095, -0.28712907433509827, 1.1329915523529053, 0.15756314992904663, -0.73231440782547, -1.7174420356750488, -1.6769485473632812, -0.5371948480606079, -3.0765419006347656, -1.6722209453582764, -0.030942514538764954, 0.6256091594696045, 0.026953130960464478, -1.343298077583313, -0.1447073221206665, 0.9802638292312622, -0.12650364637374878, 0.889665424823761, -1.2209081649780273, 0.23395073413848877, -0.9835076928138733, -0.7888930439949036, -0.7184156179428101, 1.1434342861175537, -0.9698247909545898, 0.28453055024147034, -0.7135701179504395, -0.15736423432826996, -1.0263689756393433, 0.8694955110549927, 0.5714658498764038, 0.15208280086517334, -0.13864582777023315, 0.02200739085674286, 0.08459335565567017, 1.5699900388717651, -0.5226247310638428, -0.0521860308945179, 0.43546563386917114, 1.140339732170105, -0.822433352470398, -1.2626876831054688, 0.07071280479431152, -1.2393568754196167, 2.382873058319092, -0.3698573410511017, 1.3299129009246826, -0.8338697552680969, -1.9598817825317383, -1.545751929283142, -0.5747215151786804, -0.10379493236541748, -0.21330256760120392, -0.9421689510345459, -0.6555478572845459, -0.4473165273666382, 1.1585307121276855, -0.5029158592224121, -0.19580848515033722, 0.3808383345603943, -0.19813939929008484, 1.7025575637817383, 1.0600943565368652, 0.23771056532859802, 0.471932590007782, -0.09198936820030212, 0.5059045553207397, 1.859295129776001, 0.6891381740570068, 1.7954837083816528, -1.4970266819000244, -0.05826804041862488, -1.2298334836959839, -0.5236639976501465, -0.40535759925842285, 1.2649717330932617, -0.37542957067489624, 1.375676155090332, 0.12624773383140564, -0.5326628684997559, -0.15567632019519806, -2.2613236904144287, 0.10373784601688385, -1.2036041021347046, -0.7458517551422119, 2.4384868144989014, -0.32019880414009094, -0.0011069625616073608, 0.6261781454086304, 0.22394269704818726, 0.45886504650115967, 0.7153778076171875, -0.3444165587425232, 3.069735288619995, -0.828086256980896, 0.3485994338989258, -0.22005417943000793, -0.06862401217222214, 0.7824276685714722, -0.5346437692642212]"
G01042,2,"[-0.19106131792068481, -0.8577704429626465, -0.1354362815618515, 0.4620501399040222, -1.251585841178894, -0.8416059613227844, 0.4629254937171936, 0.7698765397071838, -0.37345150113105774, 0.6463800668716431, 1.368697166442871, 1.3946117162704468, 0.25460493564605713, -0.943264365196228, 1.2845993041992188, -0.9565992951393127, 0.7525447010993958, -1.701463222503662, -0.37203502655029297, 0.11351887881755829, -0.4821680784225464, 1.623095989227295, -1.6763933897018433, -1.0405864715576172, 1.2704087495803833, 0.3698345422744751, 0.3099406659603119, -1.1379413604736328, -0.44243282079696655, -0.3786177933216095, -0.5995053052902222, 0.8496035933494568, -1.5620079040527344, 0.7912126779556274, -1.668459177017212, -0.34509968757629395, 0.08576270937919617, 1.7522145509719849, 0.6707575917243958, 0.09102235734462738, 1.2023481130599976, -0.21028411388397217, 0.25152626633644104, 0.11523115634918213, 0.9478532075881958, 0.6697386503219604, 0.2841947078704834, 1.1954530477523804, -0.2934914827346802, -1.5316232442855835, 1.1352027654647827, -0.7475017309188843, 0.2526927888393402, 0.6597488522529602, 0.451261967420578, 0.15629345178604126, -1.070138692855835, -0.04779684543609619, -0.932594358921051, -1.2971594333648682, 0.2888038456439972, -1.3604401350021362, 1.5595343112945557, 0.004027917981147766, 0.3148873448371887, 0.39356446266174316, -1.443432331085205, 0.1367294192314148, 0.8398557901382446, -2.2119078636169434, 0.09600088745355606, -0.40158769488334656, -0.596038281917572, 0.34312665462493896, 0.060226067900657654, -0.6633290648460388, -1.2224624156951904, -0.3091888725757599, -1.3393059968948364, -0.6260730624198914, -1.026559591293335, 0.4441254734992981, -0.08519302308559418, 1.1766455173492432, 0.05315274000167847, -0.02295338362455368, -0.6197054386138916, -1.0210368633270264, 0.42625588178634644, -0.6108287572860718, -1.0090724229812622, 0.5200388431549072, -0.7825693488121033, 0.1643669307231903, -1.553866982460022, -0.025217175483703613, 2.2058894634246826, 0.1891169548034668, 0.5287804007530212, 0.878312349319458, -0.7837896347045898, 0.8846604824066162, 0.40540051460266113, -0.4183661937713623, 1.1485040187835693, 0.3378755748271942, -0.4166136384010315, 2.2117080688476562, 0.009550124406814575, 0.4326302409172058, -0.4166322648525238, 0.0646943747997284, 0.09305866062641144, 0.7075639367103577, 1.3520699739456177, 0.28563377261161804, -0.9541820883750916, 0.14348934590816498, 0.14355197548866272, 0.11752723157405853, -1.4362149238586426, -2.894026756286621, -0.8238102793693542, 0.2690412104129791, 1.794368863105774, -2.042255401611328, 0.06023171544075012, 0.41406455636024475]"
G08948,4,"[-0.4223405122756958, -0.11125712096691132, -0.8647552728652954, -1.6151562929153442, 0.8322732448577881, 0.9421842098236084, 0.40557605028152466, 0.1316644847393036, -0.458299845457077, 2.988495111465454, -0.11416955292224884, 0.18675389885902405, -0.3661586046218872, 1.132504940032959, 1.6651571989059448, -0.14845490455627441, -0.3663803040981293, 1.3860149383544922, -1.1809760332107544, 1.412774920463562, 1.743134617805481, -1.5872352123260498, 0.017004460096359253, 1.8528255224227905, 0.09323474764823914, 1.7576074600219727, -0.9937126636505127, 1.1320432424545288, -0.3094733655452728, 0.04118257761001587, -0.2930993437767029, -1.0626449584960938, 0.03404754400253296, 2.1839184761047363, -0.8909990787506104, -0.6908373832702637, 0.6036616563796997, -0.12919645011425018, -0.08304551988840103, 1.0188277959823608, -1.8437118530273438, -0.39396727085113525, -1.0190362930297852, 0.6540437936782837, -0.5973159670829773, -0.09081903100013733, -1.604036808013916, 1.0502070188522339, 0.2047119140625, -0.11005782335996628, 0.01666739583015442, 0.037064939737319946, 0.056906551122665405, 1.529512882232666, 1.348402500152588, 0.30085453391075134, -0.49384212493896484, 0.7138147950172424, -0.5895557403564453, 0.348441481590271, -0.9019661545753479, 0.5285354256629944, 2.0334439277648926, -1.0630019903182983, 0.74748295545578, 0.8268579244613647, -0.2542317509651184, 1.1178040504455566, -1.0018998384475708, 1.2655377388000488, -1.9064030647277832, -1.4845571517944336, 1.0046441555023193, -1.400071382522583, -0.3409121036529541, -0.056947678327560425, 1.0748298168182373, -0.8891506195068359, 0.005337834358215332, 0.37689173221588135, -0.2532249391078949, 0.07550457864999771, 0.6231924891471863, 0.16630759835243225, -2.115006446838379, 1.387648582458496, 1.3899387121200562, -0.6598330736160278, 0.7209635376930237, 1.4767682552337646, 0.5151214599609375, 0.18229147791862488, -0.9160148501396179, -0.03873297572135925, -1.9980790615081787, 0.6842886805534363, -0.22390666604042053, 1.049959421157837, -0.1543966829776764, -0.4443269371986389, -1.399338722229004, 0.544592022895813, 1.5966094732284546, -0.23122656345367432, -0.9017834067344666, -1.2804034948349, 0.8492273092269897, 0.6976814270019531, -0.3702862858772278, -1.0075763463974, -0.6247303485870361, 0.12923932075500488, -0.2868391275405884, 1.2399120330810547, -0.01699383556842804, -0.05545691028237343, -1.1853903532028198, 0.3541170656681061, -0.43019694089889526, 0.5377059578895569, -0.34119075536727905, 0.09588325023651123, 1.410098910331726, -0.49747925996780396, 1.0286884307861328, 0.6092906594276428, -0.4147908389568329, 1.9153382778167725]"
G05320,4,"[0.3087814152240753, 0.2560359537601471, -1.8464690446853638, -1.335906744003296, -1.5204089879989624, 0.48063671588897705, 0.9200208783149719, 0.49854668974876404, -0.29229819774627686, 1.6223344802856445, -0.7638329267501831, -0.0602438747882843, 0.15947061777114868, 0.5408338308334351, 0.6543877720832825, -0.26356637477874756, -0.4922391176223755, -0.6827799081802368, 1.6676442623138428, 0.5646688938140869, -0.9794537425041199, 0.8361923098564148, 0.7991533279418945, 3.4980013370513916, 0.10306960344314575, 0.5554534196853638, 0.6557907462120056, -0.3952348828315735, -0.8289173245429993, 1.9001857042312622, -1.2060649394989014, -0.565543532371521, -0.5038301944732666, 0.3383515775203705, 0.0689096450805664, -0.8176302313804626, 0.9277018308639526, -0.8527132272720337, -0.5397599935531616, -0.6730844974517822, -1.4127815961837769, 0.3246777057647705, -0.989201009273529, 1.4534093141555786, 0.05032934248447418, -0.07413733005523682, -1.5782244205474854, -1.7901315689086914, -0.6605908870697021, 1.07513427734375, 0.023739203810691833, -0.9143676161766052, 0.39542144536972046, -0.7114406824111938, 0.48951396346092224, 1.0418477058410645, 0.38492023944854736, -0.15964382886886597, -0.5761508345603943, -1.2946162223815918, -0.6851010322570801, 1.190340518951416, -0.5938864350318909, -0.5385145545005798, -1.1809186935424805, -0.9394948482513428, 0.49635156989097595, 0.1118420958518982, 0.37325698137283325, 0.3573988080024719, 1.24390709400177, -0.01926170289516449, 1.2981988191604614, 0.7214736342430115, -1.1703437566757202, 0.44471824169158936, 1.3617792129516602, -0.3523962199687958, 0.7268335223197937, 1.8154797554016113, 0.5436981320381165, -0.400841623544693, 3.5718045234680176, 0.405439555644989, -1.8149769306182861, 0.4654233455657959, 0.3822810649871826, -0.598604679107666, -0.5974200963973999, -1.2291736602783203, -1.548807978630066, 0.32319700717926025, -0.5911512970924377, 0.48817625641822815, -0.015313442796468735, 0.18640118837356567, -1.0274689197540283, -1.0329350233078003, -0.42010998725891113, 0.6437053084373474, 0.933694064617157, 1.2369842529296875, 0.4886389672756195, 1.2912476062774658, 0.23979899287223816, -0.5380603671073914, -0.9875105023384094, -1.078397512435913, -0.5581308603286743, -0.48404979705810547, -1.2668145895004272, -1.0844385623931885, -0.527787446975708, 0.612287163734436, -0.20650678873062134, -2.257042407989502, 1.4959295988082886, 0.15909209847450256, 0.32740116119384766, 0.9515098333358765, 1.0779597759246826, 0.4216715693473816, 1.1324429512023926, 0.9527409076690674, 0.6190937757492065, -1.0140128135681152, -0.7445752620697021, -0.8982254266738892]"
G11415,2,"[0.24195200204849243, 0.0634869933128357, 1.6963424682617188, 0.09273433685302734, -0.519642174243927, -1.3169143199920654, -0.1274959146976471, 0.7899023294448853, -1.9227945804595947, 0.04447519779205322, 0.1395118236541748, -0.1904231309890747, -0.2481754571199417, -0.35904818773269653, 0.4324122965335846, -0.2567045986652374, 0.8377032279968262, -1.7900599241256714, -0.7749069929122925, 0.42773762345314026, -0.5664559006690979, 0.5339598059654236, -1.6017218828201294, -2.622373104095459, -1.3790843486785889, -1.2043869495391846, 0.35573774576187134, -0.40537095069885254, -0.16566723585128784, -3.215890884399414, -1.526025414466858, 0.27098289132118225, -0.2516815662384033, -0.6720405220985413, -0.44470450282096863, -1.0037719011306763, 1.628409504890442, 1.004841923713684, -1.4082179069519043, 0.05539589747786522, 1.331667184829712, -0.042255550622940063, -0.0987003892660141, 0.29200372099876404, 1.4799710512161255, 0.0630125105381012, 1.8740603923797607, 0.27238723635673523, 0.6545297503471375, -0.4433426558971405, 0.2556883692741394, -0.08650849759578705, -0.005048841238021851, 0.18974021077156067, -0.3456366956233978, -0.5703729391098022, -1.5019941329956055, -0.13359218835830688, -0.844800591468811, -0.7159265279769897, 0.1806369423866272, -2.6491527557373047, 0.3366832137107849, -1.8758701086044312, 0.7736059427261353, 0.06226012855768204, -1.0006155967712402, -1.1353873014450073, -0.3025735020637512, -1.0794013738632202, -1.5025992393493652, 0.49344655871391296, -1.8324451446533203, 0.6262282133102417, -0.002212323248386383, -0.7195612192153931, -0.8122708797454834, -1.2733876705169678, 0.02332666516304016, -0.08306766301393509, -0.04197659343481064, 1.1379151344299316, 0.35115689039230347, -0.5445162653923035, 0.23998132348060608, -1.3093669414520264, -1.9616262912750244, -0.9050053358078003, 0.23880305886268616, -1.7977125644683838, -1.5209496021270752, -0.3525226414203644, 0.3141975402832031, 1.2075998783111572, -0.5081732273101807, 0.7793391346931458, -0.28516221046447754, -0.7025379538536072, 2.1140754222869873, 0.3727046847343445, -1.0671792030334473, 1.1795660257339478, -0.006006777286529541, -0.006090179085731506, -0.05315208435058594, 1.7127885818481445, 0.5202140808105469, 2.27681827545166, 0.6438052654266357, 0.5523887872695923, 0.3877450227737427, 0.2610943913459778, 0.28754520416259766, 0.7286810874938965, 0.007829755544662476, 1.2039532661437988, 0.5060460567474365, 1.0123870372772217, 0.48834705352783203, 0.6465050578117371, -0.20097577571868896, -1.0629091262817383, -1.007453441619873, 1.8257339000701904, -0.7335688471794128, -0.5807458758354187, -0.08781000971794128, 0.48206302523612976]"
